Worker size,Energy (FA),Energy (MZ),Time (FA),CPU time (FA),Time (MZ),RMSD (FA),RMSD (AA),RMSD (AAS)
A1,1753.691,20.558,15,15.0926,250,13.0882,11.9905,11.642
A1,1288.050,-22.920,18,17.5667,263,15.2943,11.7938,11.7289
A1,536.688,-1.689,19,19.3222,320,12.4403,14.8226,14.7239
A1,1505.251,67.280,17,17.4551,336,15.7766,14.1117,14.4293
A1,1500.481,-43.445,17,17.3069,277,17.7756,18.1796,17.7366
A1,810.981,58.011,16,15.5223,315,13.8568,10.3493,9.86134
A1,4030.773,-49.163,20,20.1337,387,13.0574,17.8986,17.2447
A1,716.341,-41.441,16,15.8256,257,18.686,18.0138,17.9113
A1,1442.106,-43.402,20,19.8854,313,12.3876,7.94491,8.02406
A1,633.152,633.152,16,15.6104,310,19.2597,19.2597,20.3853
A1,615.635,-41.733,17,17.2882,274,17.5252,14.6119,14.5899
A1,736.075,-43.446,18,18.2463,190,18.5786,17.4676,17.9231
A1,1488.807,61.780,15,15.5033,253,20.3743,18.4084,18.4221
A1,890.034,-30.982,16,16.5005,299,14.1982,17.372,16.9562
A1,1168.830,-61.443,17,17.0033,217,19.9774,16.4631,15.5534
A1,1471.145,-36.122,19,19.0211,283,10.1326,8.47494,8.04772
A1,875.895,125.480,18,18.504,350,17.0404,10.2204,10.1462
A1,2328.356,4.690,18,18.294,346,16.7735,10.7437,10.5772
A1,1094.914,-66.906,22,21.3699,373,18.7607,14.1388,13.8206
A1,680.653,-50.978,18,17.4171,326,13.3822,12.5576,11.3449
A1,718.736,10.522,14,14.1988,373,16.2305,18.4764,18.5547
A1,1421.026,13.311,16,16.0194,289,20.4058,17.9078,17.78
A1,1617.187,-1.599,15,15.8102,220,18.1894,17.9945,17.7678
A1,3023.539,-29.238,18,18.8226,372,19.5064,17.6107,16.4862
A1,1674.338,-68.756,20,19.7597,354,13.1486,9.4668,8.61703
A1,1321.473,-7.016,19,19.1412,303,17.3466,13.8415,13.8338
A1,795.099,93.039,15,14.8744,280,16.0534,10.6165,10.2195
A1,1062.496,1.536,17,16.8967,351,24.3782,19.1767,20.1645
A1,1627.059,-10.497,19,18.5428,322,11.3365,8.99397,8.19566
A1,1631.284,-24.327,18,17.4499,329,10.5364,8.78742,8.18727
A1,576.908,-49.287,17,17.598,298,14.4533,10.1704,10.3441
A1,511.985,-52.427,17,17.209,210,14.3269,11.4522,11.103
A1,3199.623,216.366,20,19.8753,332,15.071,11.4949,11.37
A1,925.297,-13.553,19,19.0565,326,19.2365,16.611,17.4644
A1,987.054,9.842,15,14.9053,238,18.2804,12.3768,12.122
A1,517.803,-60.138,20,20.1871,381,14.3083,17.3948,16.916
A1,546.148,3.129,19,18.7845,350,14.3219,11.8845,11.517
A1,1627.360,-40.385,23,22.5168,213,16.1442,14.5648,14.3488
A1,4621.945,-2.010,20,20.4895,199,15.7517,14.1618,13.8205
A1,2131.727,21.361,19,18.5174,263,16.739,18.7055,18.646
A1,1069.283,-56.674,18,17.5216,336,17.7277,14.878,14.6387
A1,1249.380,142.891,19,18.2028,215,18.5986,15.331,15.2976
A1,653.350,-1.951,15,14.8965,216,20.292,17.3549,17.3145
A1,578.552,-38.951,15,15.1311,247,12.6873,8.07221,7.89006
A1,866.304,-72.473,16,16.0658,284,16.8756,16.4587,16.9191
A1,554.744,-39.584,20,19.9321,201,17.9074,16.8745,17.1722
A1,2195.063,98.248,17,16.5672,192,13.7065,11.4869,11.4418
A1,447.014,-92.196,16,15.5037,270,14.2963,12.3189,11.8179
A1,683.761,64.324,17,16.5174,323,17.7675,16.7404,16.7146
A1,1125.244,333.546,19,18.5471,293,18.4932,17.2303,16.3342
A1,848.653,-46.523,18,17.7315,227,16.7431,16.0206,16.4977
A1,2020.761,151.308,18,18.017,224,18.349,17.5001,17.3629
A1,879.912,-55.114,18,18.0293,235,17.5336,15.1558,15.6624
