Worker size,Energy (FA),Energy (MZ),Time (FA),Time (MZ),RMSD (FA),RMSD (AA),RMSD (AAS)
A1,52.638,6.165,1,50,7.94322,7.08692,4.64737
A1,-61.724,-14.189,2,19,5.31479,4.79785,3.5525
A1,7.048,-9.341,2,75,13.0381,12.1161,10.228
A1,-111.846,-14.956,1,15,3.77605,3.28485,2.69464
A1,-79.528,-27.745,1,42,3.48998,3.06005,2.19254
A1,-31.160,-20.973,1,71,10.4554,10.0375,9.80951
A1,31.524,0.318,2,112,8.08762,7.53987,5.33173
A1,-63.468,-20.279,2,22,9.7286,8.37829,7.43015
A1,-75.959,-10.551,2,35,5.4791,6.38531,4.96752
A1,-20.507,6.688,2,43,11.6064,10.6349,10.0865
A1,-49.310,11.644,2,52,6.79607,7.21168,6.43415
A1,42.506,-1.925,2,25,10.5206,9.978,9.04012
A1,-96.693,8.689,1,32,7.53849,7.37022,4.91204
A1,-83.461,-15.678,1,26,5.88907,5.42933,3.60244
A1,-61.869,14.583,2,59,9.86751,9.97568,9.10926
A1,-1.442,-4.583,2,53,7.20757,6.142,5.44508
A1,-14.300,-5.505,2,44,11.3019,9.78943,8.58388
A1,11.863,51.804,2,55,10.424,10.2868,6.62988
A1,-26.109,-1.133,2,67,9.93166,9.72772,9.33417
A1,-25.758,-16.294,1,80,13.0428,11.7804,9.64287
A1,2.492,156.391,1,74,9.81933,9.80668,9.32813
A1,-97.022,-10.030,2,39,4.42861,4.83609,3.19193
A1,-40.561,-4.526,2,69,6.56812,5.45774,3.68138
A1,25.594,-9.349,2,44,11.9216,11.0718,7.41303
A1,-81.338,-10.611,1,15,6.01222,6.19847,4.6878
A1,-85.994,-15.856,2,15,6.76164,6.1927,3.9182
A1,-23.458,34.995,2,60,10.5884,10.4206,9.44231
A1,-66.241,-29.034,2,38,4.84687,4.63989,3.02813
A1,-82.268,-26.420,1,41,8.62704,6.655,4.59189
A1,-53.758,-17.010,2,42,6.3955,5.29961,4.00438
A1,-72.007,12.542,2,42,13.0122,13.0138,13.1247
A1,11.975,1.428,2,70,13.5491,13.3554,12.6556
A1,-41.834,2.371,2,15,10.0355,9.76578,9.33619
A1,-23.462,84.880,2,35,11.7738,11.6763,10.6158
A1,-69.222,37.544,2,87,7.32775,6.59993,4.57573
A1,-33.850,-24.062,2,40,4.78986,4.33227,4.24957
A1,-102.843,-30.561,2,41,8.11787,7.87007,5.45324
A1,-26.829,3.715,2,44,10.9915,9.62895,8.9832
A1,-55.225,33.870,3,39,6.16942,5.64847,4.40748
A1,4.718,57.344,1,18,7.92399,7.2803,5.54387
A1,-75.596,-23.862,1,31,4.62858,4.18776,3.12689
A1,-43.141,2.464,1,32,11.2041,12.8972,12.556
A1,-96.616,-31.022,2,45,6.02235,4.98617,3.51626
