Worker size,Energy (FA),Energy (MZ),Time (FA),CPU time (FA),Time (MZ),RMSD (FA),RMSD (AA),RMSD (AAS)
A1,-155.840,-42.472,1,0.868819,11,1.80996,0.938364,0.935269
A1,-151.306,-51.022,1,0.85838,20,2.50766,0.927425,0.945053
A1,-145.328,-42.496,0,0.836085,7,1.64345,0.835623,0.834355
A1,-145.188,-41.689,1,0.850508,8,1.77279,1.70932,1.64833
A1,-154.565,-38.568,1,0.844038,12,2.09844,1.14851,1.11182
A1,-155.609,-45.900,1,0.862412,12,3.04795,0.941395,0.961094
A1,-165.505,-42.042,1,0.827257,11,2.45087,1.41977,1.32172
A1,-155.998,-35.234,1,0.836363,9,2.59113,2.23773,2.16038
A1,-152.529,-44.671,1,0.876449,12,1.83921,1.08632,1.09394
A1,-152.231,-49.056,1,0.848925,13,1.41911,0.784183,0.740327
A1,-157.843,-44.999,1,0.854836,24,3.69596,1.69348,1.56892
A1,-144.209,-37.065,0,0.840457,13,6.74524,6.23389,6.12289
A1,-161.814,-44.427,1,0.838392,6,1.76216,1.0011,0.969484
A1,-135.064,-40.304,1,0.818283,13,3.23652,2.14259,2.05437
A1,-152.270,-42.244,1,0.835796,9,1.98488,1.72218,1.70858
A1,-140.805,-7.756,1,0.849412,14,7.63176,6.19684,6.0644
A1,-161.442,-47.819,1,0.844749,15,1.66646,0.713819,0.710431
A1,-159.487,-48.524,1,0.873446,14,2.85477,0.99543,1.02081
A1,-143.029,-46.030,1,0.861478,12,3.35763,2.45769,2.46287
A1,-156.914,-45.000,1,0.832341,13,2.69989,1.28569,1.30774
A1,-144.974,-38.928,1,0.842094,16,2.22671,0.925328,0.889819
A1,-152.438,-27.067,1,0.856067,17,1.32463,0.987907,0.974267
A1,-145.273,-46.001,1,0.832247,11,1.84448,1.03452,1.01308
A1,-157.343,-38.794,0,0.846992,17,1.49235,1.44414,1.31755
A1,-154.257,-40.422,1,0.874211,7,1.43713,1.22952,1.24559
A1,-145.105,-37.909,1,0.841326,21,1.42943,1.37641,1.29744
A1,-160.630,2.458,1,0.832096,18,1.95836,2.04656,1.90611
A1,-158.616,-45.216,1,0.823853,14,1.95153,0.833553,0.777856
A1,-157.346,-42.710,1,0.840145,8,1.6445,0.892077,0.885982
A1,-147.205,-39.694,1,0.88156,13,3.41949,2.91853,2.96938
A1,-156.943,-45.391,1,0.82584,13,3.84685,1.24789,1.2756
A1,-157.592,-45.846,1,0.851502,14,2.50414,1.57215,1.44024
A1,-159.364,-42.410,1,0.830735,21,1.43398,1.32761,1.36578
A1,-143.208,-32.456,1,0.861656,16,3.28199,2.19598,1.97173
A1,-154.042,-35.306,1,0.868862,10,1.71446,1.505,1.356
A1,-145.326,-43.558,1,0.825742,10,3.12436,2.4457,2.32279
A1,-147.914,-35.419,1,0.866887,13,1.68761,1.80222,1.68869
A1,-156.491,-43.273,1,0.825035,14,2.12211,1.6062,1.65885
A1,-150.524,-45.243,1,0.837289,6,1.44729,0.945767,0.9818
A1,-157.462,-48.311,1,0.873297,13,2.62571,1.6786,1.58279
A1,-153.703,-43.988,1,0.852109,21,1.79019,1.49041,1.36439
A1,-157.639,-37.227,1,0.847033,15,2.5747,1.85524,1.80487
A1,-156.206,-49.768,1,0.823438,14,2.04984,0.826348,0.820468
A1,-150.694,-28.534,0,0.831403,16,2.00274,1.98238,1.47254
A1,-155.976,-31.985,1,0.847094,7,3.35521,2.99192,2.84432
A1,-150.332,-39.160,1,0.84102,14,3.10844,1.87157,1.70332
A1,-154.294,-38.489,1,0.853113,10,2.06081,1.41358,1.33097
A1,-156.090,-41.690,1,0.844052,14,2.84497,0.964817,0.882393
A1,-154.590,-40.208,1,0.872557,10,2.10125,1.25051,1.23693
A1,-160.248,-41.713,1,0.861083,21,2.48723,1.72063,1.00182
A1,-163.957,-36.082,1,0.836498,8,1.70259,1.34975,1.31335
A1,-157.337,-31.817,0,0.83009,5,2.41607,2.31461,2.28901
A1,-155.215,-45.464,1,0.833614,11,2.21792,1.22185,1.25955
A1,-159.663,-43.857,1,0.853657,15,2.29919,1.32801,1.27362
A1,-155.261,-42.123,1,0.863691,19,2.69728,1.18255,1.05512
A1,-148.856,-40.231,1,0.880176,17,1.66935,0.89866,0.874623
A1,-149.445,-36.989,1,0.828823,7,5.81875,5.46377,5.35817
A1,-151.225,-46.116,1,0.832797,12,2.35604,1.033,0.944741
A1,-154.310,-45.902,1,0.836486,13,1.94042,0.792475,0.801809
A1,-162.569,-39.426,1,0.860907,11,1.8753,1.21918,1.11506
A1,-152.379,-46.777,1,0.849072,17,1.50366,0.726259,0.732245
