Worker size,Energy (FA),Energy (MZ),Time (FA),CPU time (FA),Time (MZ),RMSD (FA),RMSD (AA),RMSD (AAS)
A1,-204.476,8.984,2,2.72266,153,10.8545,10.6739,9.25292
A1,-234.105,-39.971,3,2.75669,144,21.9846,20.8061,14.1606
A1,-228.954,-7.094,3,2.83838,164,24.6011,25.6165,17.6028
A1,-243.947,-51.430,3,2.66056,103,20.4936,20.1292,14.4451
A1,-184.878,-38.722,3,2.77677,159,21.6422,21.8121,15.2072
A1,-179.703,-50.845,3,2.87108,367,26.2573,24.5798,17.6787
A1,-144.667,-20.248,3,2.62089,244,27.169,24.0275,16.8459
A1,-237.904,-67.973,2,2.71954,156,19.9289,19.1088,13.417
A1,-251.033,-40.674,3,2.88815,130,22.4974,22.0329,15.878
A1,-25.347,-37.360,2,2.7714,114,25.0886,24.434,18.8203
A1,-195.688,-36.511,3,2.75711,166,16.6164,18.7357,14.0765
A1,-176.132,-34.537,3,2.8759,167,18.8445,17.7958,14.4678
A1,-234.757,-41.245,2,2.46571,145,26.7213,27.9698,22.4091
A1,-225.383,-23.206,3,2.75331,141,24.3855,24.2593,16.5555
A1,-233.548,-40.426,3,2.65577,96,25.1765,24.9554,18.7377
A1,-185.091,-64.091,2,2.66541,197,16.3182,14.2619,11.9204
A1,-178.559,-43.048,3,2.70941,120,18.3039,12.504,7.93283
A1,-131.351,-60.136,3,2.87001,132,23.7084,23.3419,17.8029
A1,-220.334,-55.004,2,2.83371,263,25.9828,25.8651,18.7081
A1,-220.585,-54.291,2,2.72526,109,22.109,22.0039,16.4995
A1,-156.820,-29.600,3,2.76028,156,19.7872,19.9795,14.6426
A1,-235.032,-51.734,3,2.93337,94,20.5172,20.2128,17.5679
A1,-158.252,-39.594,3,2.67049,70,21.0398,20.3391,14.6209
A1,-190.298,-82.614,3,2.77319,223,26.9767,25.0333,18.3091
A1,-215.922,-61.404,3,2.87203,239,23.3306,22.6044,16.7024
A1,-181.130,-20.013,3,2.74697,185,25.4695,21.6862,14.6812
A1,-248.538,-55.579,3,2.74494,195,22.7425,18.8894,13.7036
A1,-242.389,-52.536,3,2.86881,127,22.2264,20.1301,14.5862
A1,-232.110,-54.037,3,2.68087,85,22.3575,21.6095,16.2505
A1,-179.841,-24.840,2,2.62064,145,20.7328,18.8335,14.806
A1,-218.236,-45.623,3,2.92993,191,25.9147,23.3676,15.7457
A1,-226.122,-87.703,2,2.66506,147,23.8196,24.8187,17.7365
A1,-215.925,-31.523,3,2.76362,206,25.7787,23.4405,19.7225
A1,-231.654,-87.086,3,2.97598,130,23.8943,23.6484,18.2464
A1,-157.246,-67.502,3,2.77572,163,18.7496,14.9285,10.802
A1,-126.300,-24.835,3,2.77345,320,21.0084,18.3856,13.1853
A1,-204.885,-54.612,2,2.86216,111,18.7729,18.3826,15.3913
A1,-207.749,-56.069,2,2.73811,253,24.5951,22.8065,15.9022
A1,-161.189,-17.718,3,2.72044,120,24.3192,24.0816,16.0583
A1,-242.469,-34.304,3,2.78895,230,26.8611,24.2619,19.2731
A1,-202.099,-28.503,3,2.5947,198,15.2893,12.7449,10.0806
A1,-143.235,-65.685,3,2.70641,175,23.6385,21.6608,15.049
A1,-160.040,-87.397,3,2.97101,251,25.6602,22.8897,17.6718
A1,-228.139,-91.594,3,2.61384,234,22.7756,21.1101,14.9273
A1,-152.099,-33.776,3,2.80809,145,22.373,22.2611,17.0285
A1,-152.534,-42.379,3,2.97102,193,18.5987,15.537,12.0822
A1,-179.052,-51.364,2,2.47999,184,21.4778,20.7678,14.7901
A1,-199.389,-51.019,3,2.68657,192,23.7586,23.2355,16.6485
A1,-227.049,-65.510,3,2.58452,191,26.0911,23.93,16.963
A1,-189.419,-22.722,3,2.75991,76,25.1368,25.2288,18.6609
A1,-250.730,-48.971,2,2.58717,274,17.7611,17.8335,14.4998
A1,-173.413,-27.912,2,2.67621,301,17.5422,16.4345,14.1474
A1,-195.751,18.145,3,2.84543,140,24.9491,24.618,16.8226
A1,-247.942,-15.928,3,2.66192,165,17.2428,21.0923,14.9634
A1,-213.576,-47.305,3,2.75647,148,17.6107,15.9296,11.2308
A1,-120.527,-23.615,3,3.04309,171,27.0708,22.0449,16.4289
A1,-242.959,-43.980,3,2.61063,289,15.533,14.3972,11.0584
A1,-240.915,-55.463,3,2.78226,168,21.8674,20.991,16.5773
A1,-230.085,-4.250,3,2.99613,88,22.7494,22.219,15.9548
A1,-183.257,-70.781,3,2.68666,151,24.7513,21.9019,15.9684
A1,-197.023,-72.781,2,2.73717,209,26.9549,24.7719,18.5552
A1,-208.822,25.008,3,2.85179,172,24.8694,20.1282,14.3733
A1,-210.264,-2.053,3,2.60827,173,24.1424,24.1301,17.3204
A1,-181.324,-45.175,3,2.77254,221,23.4987,23.4972,15.8215
A1,-208.701,-42.091,3,3.04009,147,23.2101,21.2792,15.6571
A1,-246.181,-44.007,2,2.60286,110,20.2091,17.7624,11.4417
A1,-199.031,-41.651,2,2.70827,141,20.3332,21.3135,15.85
