Worker size,Energy (FA),Energy (MZ),Time (FA),CPU time (FA),Time (MZ),RMSD (FA),RMSD (AA),RMSD (AAS)
A1,-143.732,-18.988,1,1.21635,62,8.23989,7.00541,6.74329
A1,-187.933,-84.558,1,1.1959,57,6.12048,5.30742,5.2085
A1,-212.531,-62.159,1,1.23024,34,7.4888,6.23534,4.79329
A1,-191.608,-61.633,1,1.19319,42,11.6623,11.2481,11.5207
A1,-167.744,-66.856,1,1.17006,42,9.42938,8.21311,7.80564
A1,-128.861,-55.401,1,1.2153,25,10.9989,10.4883,10.3682
A1,-187.094,-56.205,1,1.21883,61,6.46896,6.13788,6.41771
A1,-194.110,-70.274,2,1.19527,39,4.99228,4.73328,3.97978
A1,-170.526,-40.398,1,1.19369,26,8.3254,7.44009,6.87948
A1,-220.485,-62.468,2,1.19649,70,7.24943,5.50003,4.69823
A1,-191.363,-51.946,1,1.1814,26,7.62551,7.33584,7.61625
A1,-201.060,-68.657,1,1.23772,51,6.5062,5.67148,4.898
A1,-198.604,-64.105,1,1.1828,38,5.72994,6.09415,5.44938
A1,-197.977,-66.129,1,1.21599,44,8.22287,7.54371,7.27928
A1,-163.717,-61.213,1,1.18617,65,6.33115,5.36136,4.36781
A1,-206.277,-56.905,2,1.17248,46,10.2265,9.70894,9.79739
A1,-188.870,-49.000,1,1.17266,35,8.5021,6.90273,6.22077
A1,-150.637,2.791,1,1.17168,55,10.5286,10.6117,10.1901
A1,-194.707,-78.833,2,1.21304,54,7.81087,7.61764,8.05347
A1,-206.845,-67.850,2,1.21674,40,4.59552,4.67919,4.34944
A1,-197.536,-71.137,1,1.1996,39,5.62872,5.04887,4.35958
A1,-139.320,-31.181,2,1.17923,36,10.8614,11.7687,12.0274
A1,-206.573,-62.051,1,1.15076,50,7.22136,6.19091,5.75378
A1,-204.962,-11.463,2,1.21544,34,5.98369,5.64499,4.65513
A1,-213.486,-26.061,1,1.1882,30,6.70512,6.42573,6.09729
A1,-197.142,-55.116,1,1.24732,36,4.78871,5.03814,4.43658
A1,-215.368,-64.488,1,1.21429,31,7.06925,5.50261,5.07191
A1,-204.651,-53.271,1,1.2171,21,5.79917,5.76982,5.04184
A1,-216.508,-35.965,1,1.19478,55,5.98002,5.15454,4.16509
A1,-185.848,-53.001,1,1.22123,29,6.91406,5.38597,4.07338
A1,-203.102,-74.249,1,1.2309,48,7.40544,7.98737,8.00025
A1,-157.472,-55.230,1,1.24636,33,10.8092,10.3134,10.1684
A1,-183.538,-91.102,1,1.20821,42,5.55103,4.97534,4.83243
A1,-203.049,-79.725,1,1.21694,28,5.91228,6.79447,6.70822
A1,-152.104,-47.907,1,1.22665,39,6.96722,5.55539,5.16816
A1,-181.228,-62.428,2,1.16816,43,8.11388,7.42117,7.6997
A1,-141.151,-23.664,1,1.17294,99,10.7712,7.8697,7.82672
A1,-198.213,-56.047,2,1.2304,22,6.31823,5.86235,5.16753
A1,-184.554,-9.878,1,1.23799,59,6.73826,6.4009,5.89664
A1,-185.649,-51.036,1,1.18487,39,8.33984,6.46439,6.58138
A1,-227.659,-70.363,2,1.20501,42,6.1883,4.44858,4.18164
A1,-191.078,-47.943,1,1.19475,56,10.8591,9.47694,8.51584
