Worker size,Energy (FA),Energy (MZ),Time (FA),CPU time (FA),Time (MZ),RMSD (FA),RMSD (AA),RMSD (AAS)
A1,-43.618,-16.468,2,1.65005,65,8.86586,8.57746,7.12649
A1,27.619,26.830,1,1.61763,38,9.81353,9.46106,8.21191
A1,-46.965,-14.474,2,1.50735,28,5.98989,4.81798,3.24285
A1,-91.975,-20.377,2,1.69858,47,6.29388,6.67003,4.20792
A1,-37.292,32.324,2,1.63559,59,6.98569,5.86167,4.24577
A1,-99.337,2.840,2,1.68771,43,6.86636,6.76002,5.50766
A1,39.205,-13.554,1,1.49104,67,8.37091,7.1982,5.51684
A1,-71.415,-31.981,2,1.67368,43,6.11433,6.12344,4.3951
A1,19.798,66.879,2,1.37106,44,12.6155,12.2395,11.5627
A1,118.078,99.026,2,1.63639,69,10.9992,9.65477,7.73724
A1,-25.014,-21.453,2,1.48471,32,9.23609,7.95315,6.69493
A1,-103.974,-17.001,2,1.75677,41,5.231,4.89787,2.97607
A1,-58.348,29.734,2,1.63057,30,9.65905,7.69484,6.87486
A1,-46.511,95.887,2,1.679,114,11.6544,10.77,10.3562
A1,15.794,14.683,2,1.51584,37,10.7524,9.94173,6.02695
A1,-93.224,13.633,1,1.67486,44,5.20717,4.84445,3.79156
A1,-88.975,-30.275,1,1.69743,56,7.23695,7.54837,6.05718
A1,2.194,-9.798,2,1.73795,77,11.6981,10.5394,10.0811
A1,9.413,-16.718,2,1.51563,89,13.4264,12.1536,11.2539
A1,32.755,-21.993,2,1.60703,77,12.7001,13.6632,13.2502
A1,-15.701,0.138,2,1.62087,115,10.9403,10.035,8.76469
A1,-57.137,-2.188,2,1.76508,24,6.90347,6.15801,5.10283
A1,3.292,-11.947,1,1.47396,44,7.6928,6.33192,5.61588
A1,-39.416,6.549,1,1.68402,37,7.14315,6.75462,5.5327
A1,-90.663,-10.381,1,1.63944,29,6.67792,6.50034,4.10863
A1,-22.051,149.089,1,1.70505,64,9.02659,8.15213,6.77689
A1,-86.633,-6.834,1,1.51718,18,7.88269,7.30312,5.20315
A1,29.237,148.808,1,1.65402,46,12.8983,12.1149,11.7402
A1,-4.752,-18.114,2,1.61814,71,9.11876,8.486,7.19127
A1,23.696,-3.946,2,1.68332,57,10.0148,9.4486,8.9861
A1,-21.396,-13.951,2,1.45816,29,7.71677,7.24924,7.19142
A1,2.446,204.796,2,1.618,62,12.5857,11.8998,11.1771
A1,-11.079,8.647,2,1.70743,27,11.3735,10.4067,9.14375
A1,-51.807,-20.415,1,1.67087,40,7.90965,6.97275,4.8531
A1,-27.990,-18.336,2,1.48857,18,8.32715,6.87981,6.25091
A1,-89.835,-20.578,1,1.59244,40,8.08424,8.07102,5.45188
A1,38.249,25.490,1,1.66221,51,7.15255,6.29568,4.894
A1,-65.970,-2.472,2,1.72751,72,6.7475,6.41134,4.62274
A1,11.539,13.798,2,1.42065,89,10.1368,9.46673,8.58192
A1,-90.017,-19.578,2,1.70528,48,7.46122,7.62204,5.25482
A1,8.909,33.873,2,1.6428,74,6.20071,5.56398,4.42947
A1,-27.242,-22.281,1,1.63174,46,8.97179,7.21085,6.53734
A1,-78.945,-24.264,1,1.59888,23,7.1049,6.99391,6.19593
A1,-61.385,-15.921,2,1.70841,108,12.2902,13.8787,10.1798
A1,-96.968,-24.921,1,1.5877,45,7.66255,6.88144,5.52896
A1,41.832,-1.582,1,1.63149,58,10.9711,10.4776,9.97934
A1,49.541,47.593,1,1.42832,44,11.6231,10.534,10.931
A1,-33.029,24.553,2,1.75503,55,6.75,6.63547,4.91481
A1,-27.920,-11.106,1,1.61808,47,10.6598,8.60585,8.34281
A1,-47.475,-30.312,2,1.7257,59,5.39314,5.7646,3.6933
A1,6.001,-22.044,2,1.50572,68,10.1265,8.82019,7.96505
A1,-29.115,-2.826,1,1.74269,106,8.51238,8.348,5.56157
A1,-61.747,-12.237,2,1.61767,58,8.74754,8.87681,7.76673
A1,-34.860,-6.634,1,1.63533,43,8.96831,8.36315,5.78126
A1,39.034,9.559,1,1.43155,26,11.1917,10.0213,8.39848
A1,-119.062,-21.964,2,1.709,50,6.71922,6.56694,4.49289
A1,-4.915,11.126,2,1.71003,49,8.45645,8.24122,7.20918
A1,15.272,26.815,2,1.70586,44,12.7312,13.5953,13.2037
A1,23.500,-10.532,2,1.53959,47,11.4429,11.4356,12.1196
A1,-36.774,-18.116,1,1.70299,69,6.55744,6.06187,3.21814
A1,-27.644,18.291,2,1.72245,82,10.5146,10.5872,10.8001
A1,-84.979,-27.421,2,1.6953,17,8.72042,8.01668,6.67459
A1,-10.042,-17.836,2,1.49386,91,8.39951,8.14727,7.35897
A1,-78.743,-26.887,1,1.67256,80,8.77328,7.75857,5.43867
A1,33.786,87.149,1,1.56346,49,12.832,13.3535,12.4919
A1,-21.675,62.107,2,1.68681,40,12.975,13.0689,13.6663
A1,71.244,68.039,1,1.38499,47,12.1766,13.2041,13.0272
A1,-59.093,-9.805,2,1.66441,41,8.60823,7.44571,5.47268
A1,-22.430,22.712,2,1.6547,35,10.843,10.7026,10.7146
A1,-27.798,6.250,1,1.69191,94,12.3661,12.3681,12.5854
A1,-96.224,-38.255,2,1.52717,45,4.82585,4.6006,4.19449
A1,-34.490,6.305,2,1.75992,82,11.0075,10.782,10.0674
A1,11.443,4.545,1,1.59765,92,11.5601,11.6097,11.6271
A1,-2.967,45.732,2,1.78014,56,12.5359,12.4869,12.0523
A1,11.795,13.245,2,1.49992,67,11.9973,11.2412,10.4485
A1,2.200,-3.022,2,1.53622,68,9.06597,8.2181,6.47074
A1,-79.572,36.281,1,1.61889,44,8.00438,7.27723,4.42871
A1,-65.287,-11.659,2,1.67824,30,7.39746,6.534,6.04394
A1,-9.702,50.430,1,1.49879,89,10.8159,10.4248,9.43374
A1,-42.148,2.772,2,1.72736,59,11.8022,11.8861,10.2639
A1,-17.314,22.819,1,1.697,71,13.0094,11.1932,8.72123
A1,-15.241,39.655,1,1.70344,46,12.5558,11.0294,9.76413
A1,-64.536,40.573,1,1.56071,37,8.02704,8.29916,5.19709
A1,-88.683,-6.602,2,1.69717,41,7.16892,7.50468,5.7543
A1,-13.775,73.523,1,1.71488,36,10.6211,12.4409,11.6268
A1,-80.450,-4.359,1,1.66394,22,10.5949,10.7359,10.1292
A1,6.453,-14.400,1,1.51357,59,11.389,10.0622,9.29993
A1,-85.012,-24.555,2,1.68329,56,6.41134,6.77562,4.65041
A1,-24.645,-17.030,1,1.6914,49,10.5558,10.022,8.62792
A1,-22.451,-17.400,2,1.69777,79,12.7207,12.8809,13.431
A1,-61.514,7.722,1,1.5257,40,12.367,12.473,10.4987
A1,-42.929,-9.768,1,1.68179,41,8.88432,7.98,7.86816
A1,-82.132,-22.147,2,1.7161,69,7.69131,7.34734,5.34567
A1,-33.016,10.573,1,1.65103,28,9.37901,7.50289,6.8016
A1,-101.474,-18.935,2,1.5196,47,6.87373,6.81397,5.22868
A1,-36.312,-15.047,1,1.70114,39,6.5172,6.38517,4.46825
A1,13.511,1.200,2,1.51111,127,12.4801,10.8715,9.80768
A1,-32.915,13.042,1,1.64751,37,10.5387,10.3523,9.87655
A1,-31.458,-0.697,2,1.50681,57,11.7606,11.9115,11.0974
A1,-72.422,-19.149,2,1.69444,42,7.78388,6.80532,4.44646
A1,27.762,12.202,2,1.63939,66,10.6652,9.76526,9.50877
A1,-85.502,-31.254,1,1.68742,34,5.78576,4.97436,4.07197
A1,-40.698,-3.531,2,1.51117,84,8.79419,7.62314,4.80767
A1,-5.149,-19.990,2,1.65443,74,12.1754,12.7736,12.7867
A1,44.359,-6.889,2,1.63593,114,11.4717,10.1984,10.5904
A1,-108.329,-30.914,2,1.70109,37,4.69884,3.66623,2.88042
A1,-98.910,-6.758,1,1.46049,36,7.0638,7.50258,5.20479
A1,28.045,-21.216,1,1.57409,87,9.64074,9.23495,8.8009
A1,-51.493,-30.990,2,1.67646,38,6.46267,5.11025,3.74712
A1,-81.541,-13.536,2,1.73417,66,7.21025,6.52055,3.97159
A1,-30.863,-12.580,2,1.47123,41,8.45126,7.19839,6.49112
A1,-46.713,-27.785,2,1.72943,42,12.7044,11.5892,8.74787
A1,-17.035,-13.749,2,1.61321,43,11.626,11.4106,11.2429
A1,-94.161,-25.615,2,1.7104,42,6.8699,6.42699,4.71925
A1,-13.824,378.263,1,1.38489,51,9.67637,7.06977,5.38554
A1,-112.098,-27.672,2,1.64453,61,4.77126,4.24884,3.59083
A1,-80.257,-23.212,1,1.54766,31,6.88026,6.57355,3.86476
A1,-8.623,-10.499,1,1.70265,169,12.9756,13.9607,12.579
A1,-41.184,6.738,1,1.46466,24,11.6831,11.4677,11.0953
A1,-38.866,-11.901,2,1.76143,79,12.9542,13.312,13.3967
A1,33.114,8.830,2,1.61172,82,10.727,9.73071,9.00529
A1,-50.698,-3.585,2,1.61532,23,9.26174,7.85816,6.5565
A1,-47.890,-22.039,1,1.56502,29,8.40659,8.56996,6.25397
A1,-88.499,-31.476,2,1.65019,44,4.62599,4.71853,2.95883
A1,-50.576,-23.152,2,1.62849,39,5.87968,5.10587,4.52403
A1,-0.379,-5.887,2,1.66155,89,14.2142,13.0062,9.75162
A1,-23.223,-25.884,1,1.46192,37,5.88595,5.98843,4.19987
A1,-87.142,-19.894,2,1.62271,70,8.28143,7.81521,7.07901
A1,-22.208,-26.240,1,1.57131,56,10.0865,9.06177,8.34432
A1,-15.790,20.032,2,1.62413,145,10.8834,10.4825,10.7828
A1,-55.523,-25.742,2,1.49568,20,5.49046,5.18468,3.50342
A1,-45.033,35.221,1,1.64857,63,8.37337,8.68109,7.62851
A1,-63.408,-17.548,2,1.66878,18,7.29236,7.11191,5.29536
A1,-73.130,-21.238,1,1.74141,49,7.30471,6.91218,4.4158
A1,-59.968,-0.178,2,1.54442,75,11.2188,11.3138,11.335
A1,-29.723,-0.832,1,1.65446,56,10.5866,10.1561,9.59134
A1,-88.610,-20.114,1,1.59411,48,7.23327,6.99496,5.7468
A1,-87.377,-26.694,2,1.76351,44,3.27348,3.35874,3.1456
